Arrival_Date,Room_Category,Fare_Class,Actual_Showups,Total_Unconstrained_Demand,Simulated_Cancellations
2022-02-16,Standard,Y3_Low,7,7,0
2022-02-17,Other,Y1_High,1,3,2
2022-02-17,Other,Y2_Medium,1,3,2
2022-02-17,Other,Y3_Low,3,4,1
2022-02-17,Standard,Y1_High,6,7,1
2022-02-17,Standard,Y2_Medium,1,5,4
2022-02-17,Standard,Y3_Low,5,5,0
2022-02-17,Superior,Y1_High,1,1,0
2022-02-17,Superior,Y3_Low,1,1,0
2022-02-18,Family,Y2_Medium,3,3,0
2022-02-18,Other,Y2_Medium,1,1,0
2022-02-18,Other,Y3_Low,8,8,0
2022-02-18,Standard,Y1_High,2,6,4
2022-02-18,Standard,Y2_Medium,2,5,3
2022-02-18,Standard,Y3_Low,18,20,2
2022-02-18,Superior,Y2_Medium,1,1,0
2022-02-19,Family,Y2_Medium,1,1,0
2022-02-19,Family,Y3_Low,4,4,0
2022-02-19,Other,Y1_High,1,1,0
2022-02-19,Other,Y2_Medium,2,2,0
2022-02-19,Other,Y3_Low,7,11,4
2022-02-19,Standard,Y1_High,3,3,0
2022-02-19,Standard,Y2_Medium,5,6,1
2022-02-19,Standard,Y3_Low,10,10,0
2022-02-19,Superior,Y3_Low,1,1,0
2022-02-20,Family,Y2_Medium,1,4,3
2022-02-20,Other,Y1_High,1,1,0
2022-02-20,Other,Y2_Medium,2,2,0
2022-02-20,Other,Y3_Low,5,5,0
2022-02-20,Standard,Y1_High,1,1,0
2022-02-20,Standard,Y2_Medium,1,1,0
2022-02-20,Standard,Y3_Low,15,20,5
2022-02-20,Superior,Y3_Low,2,2,0
2022-02-21,Other,Y1_High,1,1,0
2022-02-21,Other,Y3_Low,2,2,0
2022-02-21,Standard,Y2_Medium,2,2,0
2022-02-21,Standard,Y3_Low,6,8,2
2022-02-22,Family,Y3_Low,1,2,1
2022-02-22,Other,Y1_High,1,5,4
2022-02-22,Other,Y2_Medium,3,6,3
2022-02-22,Other,Y3_Low,9,15,6
2022-02-22,Standard,Y1_High,3,3,0
2022-02-22,Standard,Y2_Medium,12,12,0
2022-02-22,Standard,Y3_Low,7,7,0
2022-02-22,Superior,Y3_Low,1,2,1
2022-02-23,Other,Y1_High,1,1,0
2022-02-23,Other,Y2_Medium,3,6,3
2022-02-23,Other,Y3_Low,1,2,1
2022-02-23,Standard,Y1_High,1,1,0
2022-02-23,Standard,Y2_Medium,4,4,0
2022-02-23,Standard,Y3_Low,6,7,1
2022-02-24,Other,Y1_High,2,2,0
2022-02-24,Other,Y2_Medium,4,7,3
2022-02-24,Other,Y3_Low,2,2,0
2022-02-24,Standard,Y1_High,5,6,1
2022-02-24,Standard,Y2_Medium,2,2,0
2022-02-24,Standard,Y3_Low,10,19,9
2022-02-24,Superior,Y1_High,2,2,0
2022-02-25,Other,Y1_High,4,5,1
2022-02-25,Other,Y2_Medium,4,9,5
2022-02-25,Other,Y3_Low,12,17,5
2022-02-25,Standard,Y1_High,5,5,0
2022-02-25,Standard,Y2_Medium,3,3,0
2022-02-25,Standard,Y3_Low,11,15,4
2022-02-25,Superior,Y2_Medium,1,1,0
2022-02-26,Other,Y2_Medium,14,16,2
2022-02-26,Other,Y3_Low,83,100,17
2022-02-26,Standard,Y1_High,3,3,0
2022-02-26,Standard,Y2_Medium,7,8,1
2022-02-26,Standard,Y3_Low,19,22,3
2022-02-26,Superior,Y1_High,1,1,0
2022-02-26,Superior,Y3_Low,1,1,0
2022-02-27,Family,Y3_Low,2,4,2
2022-02-27,Other,Y2_Medium,2,2,0
2022-02-27,Other,Y3_Low,4,4,0
2022-02-27,Standard,Y2_Medium,1,1,0
2022-02-27,Standard,Y3_Low,13,16,3
2022-02-27,Superior,Y1_High,1,1,0
2022-02-27,Superior,Y3_Low,2,2,0
2022-02-28,Other,Y1_High,1,2,1
2022-02-28,Other,Y2_Medium,4,7,3
2022-02-28,Other,Y3_Low,5,9,4
2022-02-28,Standard,Y1_High,3,3,0
2022-02-28,Standard,Y2_Medium,2,2,0
2022-02-28,Standard,Y3_Low,19,19,0
2022-02-28,Superior,Y1_High,1,2,1
2022-03-01,Deluxe,Y3_Low,2,5,3
2022-03-01,Family,Y3_Low,2,2,0
2022-03-01,Other,Y1_High,2,2,0
2022-03-01,Other,Y2_Medium,25,25,0
2022-03-01,Other,Y3_Low,39,55,16
2022-03-01,Standard,Y1_High,9,13,4
2022-03-01,Standard,Y2_Medium,4,4,0
2022-03-01,Standard,Y3_Low,17,26,9
2022-03-01,Superior,Y2_Medium,1,2,1
2022-03-02,Other,Y1_High,2,3,1
2022-03-02,Other,Y2_Medium,5,9,4
2022-03-02,Other,Y3_Low,4,5,1
2022-03-02,Standard,Y1_High,1,2,1
2022-03-02,Standard,Y2_Medium,1,1,0
2022-03-02,Standard,Y3_Low,12,12,0
2022-03-03,Deluxe,Y3_Low,1,1,0
2022-03-03,Other,Y1_High,1,1,0
2022-03-03,Other,Y2_Medium,1,1,0
2022-03-03,Other,Y3_Low,2,3,1
2022-03-03,Standard,Y1_High,5,5,0
2022-03-03,Standard,Y2_Medium,5,5,0
2022-03-03,Standard,Y3_Low,32,42,10
2022-03-04,Other,Y1_High,4,6,2
2022-03-04,Other,Y2_Medium,4,4,0
2022-03-04,Other,Y3_Low,6,6,0
2022-03-04,Standard,Y1_High,3,3,0
2022-03-04,Standard,Y2_Medium,4,4,0
2022-03-04,Standard,Y3_Low,20,34,14
2022-03-04,Superior,Y2_Medium,1,2,1
2022-03-04,Superior,Y3_Low,1,2,1
2022-03-05,Family,Y2_Medium,2,2,0
2022-03-05,Other,Y1_High,2,2,0
2022-03-05,Other,Y2_Medium,1,2,1
2022-03-05,Other,Y3_Low,15,20,5
2022-03-05,Standard,Y1_High,10,16,6
2022-03-05,Standard,Y2_Medium,9,12,3
2022-03-05,Standard,Y3_Low,31,49,18
2022-03-06,Family,Y2_Medium,1,1,0
2022-03-06,Other,Y2_Medium,5,6,1
2022-03-06,Other,Y3_Low,9,12,3
2022-03-06,Standard,Y1_High,11,15,4
2022-03-06,Standard,Y2_Medium,11,12,1
2022-03-06,Standard,Y3_Low,24,33,9
2022-03-07,Other,Y1_High,1,2,1
2022-03-07,Other,Y2_Medium,2,5,3
2022-03-07,Other,Y3_Low,2,2,0
2022-03-07,Standard,Y1_High,5,5,0
2022-03-07,Standard,Y2_Medium,8,8,0
2022-03-07,Standard,Y3_Low,14,18,4
2022-03-08,Family,Y2_Medium,2,3,1
2022-03-08,Family,Y3_Low,2,2,0
2022-03-08,Other,Y1_High,4,6,2
2022-03-08,Other,Y2_Medium,6,6,0
2022-03-08,Standard,Y1_High,2,4,2
2022-03-08,Standard,Y2_Medium,2,2,0
2022-03-08,Standard,Y3_Low,21,24,3
2022-03-09,Family,Y1_High,1,1,0
2022-03-09,Other,Y1_High,1,1,0
2022-03-09,Other,Y2_Medium,4,6,2
2022-03-09,Other,Y3_Low,3,3,0
2022-03-09,Standard,Y1_High,2,2,0
2022-03-09,Standard,Y2_Medium,3,3,0
2022-03-09,Standard,Y3_Low,11,22,11
2022-03-10,Family,Y3_Low,1,2,1
2022-03-10,Other,Y1_High,1,3,2
2022-03-10,Other,Y2_Medium,10,17,7
2022-03-10,Other,Y3_Low,5,7,2
2022-03-10,Standard,Y1_High,4,4,0
2022-03-10,Standard,Y2_Medium,5,7,2
2022-03-10,Standard,Y3_Low,36,44,8
2022-03-10,Superior,Y3_Low,3,3,0
2022-03-11,Family,Y1_High,1,1,0
2022-03-11,Other,Y1_High,1,1,0
2022-03-11,Other,Y2_Medium,5,6,1
2022-03-11,Other,Y3_Low,8,8,0
2022-03-11,Standard,Y1_High,7,7,0
2022-03-11,Standard,Y2_Medium,10,15,5
2022-03-11,Standard,Y3_Low,22,26,4
2022-03-12,Deluxe,Y3_Low,1,2,1
2022-03-12,Other,Y1_High,3,6,3
2022-03-12,Other,Y2_Medium,11,11,0
2022-03-12,Other,Y3_Low,3,3,0
2022-03-12,Standard,Y1_High,4,4,0
2022-03-12,Standard,Y2_Medium,3,5,2
2022-03-12,Standard,Y3_Low,37,44,7
2022-03-13,Deluxe,Y1_High,1,2,1
2022-03-13,Other,Y2_Medium,11,16,5
2022-03-13,Other,Y3_Low,1,3,2
2022-03-13,Standard,Y1_High,3,3,0
2022-03-13,Standard,Y2_Medium,9,11,2
2022-03-13,Standard,Y3_Low,27,30,3
2022-03-13,Superior,Y3_Low,1,2,1
2022-03-14,Other,Y2_Medium,4,6,2
2022-03-14,Standard,Y1_High,3,6,3
2022-03-14,Standard,Y2_Medium,6,10,4
2022-03-14,Standard,Y3_Low,8,8,0
2022-03-15,Other,Y1_High,1,1,0
2022-03-15,Other,Y2_Medium,1,1,0
2022-03-15,Other,Y3_Low,27,47,20
2022-03-15,Standard,Y1_High,1,1,0
2022-03-15,Standard,Y2_Medium,4,4,0
2022-03-15,Standard,Y3_Low,19,24,5
2022-03-15,Superior,Y3_Low,1,1,0
2022-03-16,Other,Y1_High,1,1,0
2022-03-16,Other,Y2_Medium,3,3,0
2022-03-16,Other,Y3_Low,3,4,1
2022-03-16,Standard,Y1_High,3,3,0
2022-03-16,Standard,Y2_Medium,1,1,0
2022-03-16,Standard,Y3_Low,14,14,0
2022-03-17,Other,Y1_High,1,1,0
2022-03-17,Other,Y2_Medium,4,8,4
2022-03-17,Other,Y3_Low,3,3,0
2022-03-17,Standard,Y1_High,4,4,0
2022-03-17,Standard,Y2_Medium,7,7,0
2022-03-17,Standard,Y3_Low,55,65,10
2022-03-18,Other,Y1_High,3,3,0
2022-03-18,Other,Y2_Medium,9,10,1
2022-03-18,Other,Y3_Low,10,12,2
2022-03-18,Standard,Y1_High,4,4,0
2022-03-18,Standard,Y2_Medium,7,13,6
2022-03-18,Standard,Y3_Low,16,24,8
2022-03-18,Superior,Y2_Medium,1,2,1
2022-03-19,Family,Y1_High,1,3,2
2022-03-19,Family,Y2_Medium,2,2,0
2022-03-19,Other,Y1_High,3,4,1
2022-03-19,Other,Y2_Medium,10,10,0
2022-03-19,Other,Y3_Low,1,1,0
2022-03-19,Standard,Y1_High,3,3,0
2022-03-19,Standard,Y2_Medium,9,18,9
2022-03-19,Standard,Y3_Low,37,41,4
2022-03-20,Other,Y2_Medium,2,3,1
2022-03-20,Other,Y3_Low,1,1,0
2022-03-20,Standard,Y1_High,6,6,0
2022-03-20,Standard,Y2_Medium,3,3,0
2022-03-20,Standard,Y3_Low,26,35,9
2022-03-20,Superior,Y3_Low,1,1,0
2022-03-21,Other,Y1_High,2,2,0
2022-03-21,Other,Y3_Low,1,2,1
2022-03-21,Standard,Y1_High,4,5,1
2022-03-21,Standard,Y2_Medium,5,7,2
2022-03-21,Standard,Y3_Low,17,18,1
2022-03-21,Superior,Y1_High,1,1,0
2022-03-22,Other,Y1_High,1,1,0
2022-03-22,Other,Y2_Medium,3,3,0
2022-03-22,Other,Y3_Low,3,7,4
2022-03-22,Standard,Y1_High,5,10,5
2022-03-22,Standard,Y2_Medium,7,10,3
2022-03-22,Standard,Y3_Low,8,8,0
2022-03-23,Deluxe,Y3_Low,1,1,0
2022-03-23,Other,Y2_Medium,3,3,0
2022-03-23,Other,Y3_Low,3,5,2
2022-03-23,Standard,Y2_Medium,6,6,0
2022-03-23,Standard,Y3_Low,20,27,7
2022-03-24,Family,Y3_Low,2,3,1
2022-03-24,Other,Y1_High,1,1,0
2022-03-24,Other,Y2_Medium,6,11,5
2022-03-24,Other,Y3_Low,1,1,0
2022-03-24,Standard,Y1_High,5,5,0
2022-03-24,Standard,Y2_Medium,7,10,3
2022-03-24,Standard,Y3_Low,23,24,1
2022-03-24,Superior,Y1_High,1,2,1
2022-03-25,Family,Y2_Medium,2,2,0
2022-03-25,Other,Y1_High,1,1,0
2022-03-25,Other,Y2_Medium,5,7,2
2022-03-25,Standard,Y1_High,4,5,1
2022-03-25,Standard,Y2_Medium,5,5,0
2022-03-25,Standard,Y3_Low,15,15,0
2022-03-25,Superior,Y3_Low,1,1,0
2022-03-26,Other,Y1_High,4,7,3
2022-03-26,Other,Y2_Medium,9,10,1
2022-03-26,Other,Y3_Low,5,6,1
2022-03-26,Standard,Y1_High,2,2,0
2022-03-26,Standard,Y2_Medium,12,17,5
2022-03-26,Standard,Y3_Low,20,35,15
2022-03-27,Deluxe,Y3_Low,1,1,0
2022-03-27,Other,Y1_High,3,3,0
2022-03-27,Other,Y2_Medium,10,17,7
2022-03-27,Other,Y3_Low,1,1,0
2022-03-27,Standard,Y1_High,2,3,1
2022-03-27,Standard,Y2_Medium,6,6,0
2022-03-27,Standard,Y3_Low,24,29,5
2022-03-27,Superior,Y3_Low,1,2,1
2022-03-28,Other,Y2_Medium,3,4,1
2022-03-28,Other,Y3_Low,3,4,1
2022-03-28,Standard,Y2_Medium,6,7,1
2022-03-28,Standard,Y3_Low,22,22,0
2022-03-28,Superior,Y3_Low,1,1,0
2022-03-29,Other,Y1_High,2,3,1
2022-03-29,Other,Y2_Medium,3,4,1
2022-03-29,Other,Y3_Low,3,3,0
2022-03-29,Standard,Y1_High,1,1,0
2022-03-29,Standard,Y2_Medium,2,5,3
2022-03-29,Standard,Y3_Low,24,29,5
2022-03-29,Superior,Y2_Medium,1,2,1
2022-03-30,Other,Y1_High,1,1,0
2022-03-30,Other,Y2_Medium,1,1,0
2022-03-30,Other,Y3_Low,5,5,0
2022-03-30,Standard,Y1_High,2,4,2
2022-03-30,Standard,Y2_Medium,3,3,0
2022-03-30,Standard,Y3_Low,7,8,1
2022-03-31,Family,Y1_High,1,2,1
2022-03-31,Family,Y2_Medium,1,1,0
2022-03-31,Family,Y3_Low,2,4,2
2022-03-31,Other,Y1_High,1,2,1
2022-03-31,Other,Y2_Medium,2,5,3
2022-03-31,Other,Y3_Low,2,2,0
2022-03-31,Standard,Y1_High,1,1,0
2022-03-31,Standard,Y2_Medium,4,5,1
2022-03-31,Standard,Y3_Low,9,12,3
2022-03-31,Superior,Y3_Low,1,1,0
2022-04-01,Family,Y3_Low,4,4,0
2022-04-01,Other,Y1_High,2,4,2
2022-04-01,Other,Y2_Medium,1,1,0
2022-04-01,Standard,Y1_High,1,3,2
2022-04-01,Standard,Y2_Medium,5,7,2
2022-04-01,Standard,Y3_Low,7,7,0
2022-04-01,Superior,Y3_Low,2,4,2
2022-04-02,Other,Y1_High,2,4,2
2022-04-02,Other,Y2_Medium,9,12,3
2022-04-02,Other,Y3_Low,1,1,0
2022-04-02,Standard,Y2_Medium,10,10,0
2022-04-02,Standard,Y3_Low,15,15,0
2022-04-03,Family,Y1_High,1,2,1
2022-04-03,Family,Y2_Medium,2,2,0
2022-04-03,Other,Y1_High,4,10,6
2022-04-03,Other,Y2_Medium,1,1,0
2022-04-03,Other,Y3_Low,2,4,2
2022-04-03,Standard,Y1_High,1,1,0
2022-04-03,Standard,Y2_Medium,2,2,0
2022-04-03,Standard,Y3_Low,20,20,0
